EventID,FightID,RedCorner,RedCornerID,BlueCorner,BlueCornerID,WeightClass,Referee,Championship,FightEndRound,FightEndTime,MaxRounds,Blue_Back_Control_Time,Blue_Body_Significant_Strikes_Attempts,Blue_Body_Significant_Strikes_Landed,Blue_Body_Total_Strikes_Attempts,Blue_Body_Total_Strikes_Landed,Blue_Clinch_Body_Strikes_Attempts,Blue_Clinch_Body_Strikes_Landed,Blue_Clinch_Head_Strikes_Attempts,Blue_Clinch_Head_Strikes_Landed,Blue_Clinch_Leg_Strikes_Attempts,Blue_Clinch_Leg_Strikes_Landed,Blue_Clinch_Significant_Kicks_Attempts,Blue_Clinch_Significant_Kicks_Landed,Blue_Clinch_Significant_Punches_Attempts,Blue_Clinch_Significant_Punches_Landed,Blue_Clinch_Significant_Strikes_Attempts,Blue_Clinch_Significant_Strikes_Landed,Blue_Clinch_Time,Blue_Clinch_Total_Strikes_Attempts,Blue_Clinch_Total_Strikes_Landed,Blue_Control_Time,Blue_Distance_Body_Kicks_Attempts,Blue_Distance_Body_Kicks_Landed,Blue_Distance_Body_Punches_Attempts,Blue_Distance_Body_Punches_Landed,Blue_Distance_Body_Strikes_Attempts,Blue_Distance_Body_Strikes_Landed,Blue_Distance_Head_Kicks_Attempts,Blue_Distance_Head_Kicks_Landed,Blue_Distance_Head_Punches_Attempts,Blue_Distance_Head_Punches_Landed,Blue_Distance_Head_Strikes_Attempts,Blue_Distance_Head_Strikes_Landed,Blue_Distance_Leg_Kicks_Attempts,Blue_Distance_Leg_Kicks_Landed,Blue_Distance_Leg_Strikes_Attempts,Blue_Distance_Leg_Strikes_Landed,Blue_Distance_Strikes_Attempts,Blue_Distance_Strikes_Landed,Blue_Distance_Time,Blue_Ground_Body_Strikes_Attempts,Blue_Ground_Body_Strikes_Landed,Blue_Ground_Control_Time,Blue_Ground_Head_Strikes_Attempts,Blue_Ground_Head_Strikes_Landed,Blue_Ground_Leg_Strikes_Attempts,Blue_Ground_Leg_Strikes_Landed,Blue_Ground_Significant_Kicks_Attempts,Blue_Ground_Significant_Kicks_Landed,Blue_Ground_Significant_Punches_Attempts,Blue_Ground_Significant_Punches_Landed,Blue_Ground_Significant_Strikes_Attempts,Blue_Ground_Significant_Strikes_Landed,Blue_Ground_Time,Blue_Ground_Total_Strikes_Attempts,Blue_Ground_Total_Strikes_Landed,Blue_Guard_Control_Time,Blue_Half_Guard_Control_Time,Blue_Head_Significant_Strikes_Attempts,Blue_Head_Significant_Strikes_Landed,Blue_Head_Total_Strikes_Attempts,Blue_Head_Total_Strikes_Landed,Blue_Kicks_Attempts,Blue_Kicks_Landed,Blue_Knock_Down_Attempts,Blue_Knock_Down_Landed,Blue_Legs_Significant_Strikes_Attempts,Blue_Legs_Significant_Strikes_Landed,Blue_Legs_Total_Strikes_Attempts,Blue_Legs_Total_Strikes_Landed,Blue_Misc__Ground_Control_Time,Blue_Mount_Control_Time,Blue_Neutral_Time,Blue_Punches_Attempts,Blue_Punches_Landed,Blue_Reversals_Attempts,Blue_Reversals_Landed,Blue_Side_Control_Time,Blue_Significant_Strikes_Attempts,Blue_Significant_Strikes_Landed,Blue_Standing_Time,Blue_Standups_Attempts,Blue_Standups_Landed,Blue_Submissions_Attempts,Blue_Submissions_Landed,Blue_Takedowns_Attempts,Blue_Takedowns_Landed,Blue_Total_Strikes_Attempts,Blue_Total_Strikes_Landed,Red_Back_Control_Time,Red_Body_Significant_Strikes_Attempts,Red_Body_Significant_Strikes_Landed,Red_Body_Total_Strikes_Attempts,Red_Body_Total_Strikes_Landed,Red_Clinch_Body_Strikes_Attempts,Red_Clinch_Body_Strikes_Landed,Red_Clinch_Head_Strikes_Attempts,Red_Clinch_Head_Strikes_Landed,Red_Clinch_Leg_Strikes_Attempts,Red_Clinch_Leg_Strikes_Landed,Red_Clinch_Significant_Kicks_Attempts,Red_Clinch_Significant_Kicks_Landed,Red_Clinch_Significant_Punches_Attempts,Red_Clinch_Significant_Punches_Landed,Red_Clinch_Significant_Strikes_Attempts,Red_Clinch_Significant_Strikes_Landed,Red_Clinch_Time,Red_Clinch_Total_Strikes_Attempts,Red_Clinch_Total_Strikes_Landed,Red_Control_Time,Red_Distance_Body_Kicks_Attempts,Red_Distance_Body_Kicks_Landed,Red_Distance_Body_Punches_Attempts,Red_Distance_Body_Punches_Landed,Red_Distance_Body_Strikes_Attempts,Red_Distance_Body_Strikes_Landed,Red_Distance_Head_Kicks_Attempts,Red_Distance_Head_Kicks_Landed,Red_Distance_Head_Punches_Attempts,Red_Distance_Head_Punches_Landed,Red_Distance_Head_Strikes_Attempts,Red_Distance_Head_Strikes_Landed,Red_Distance_Leg_Kicks_Attempts,Red_Distance_Leg_Kicks_Landed,Red_Distance_Leg_Strikes_Attempts,Red_Distance_Leg_Strikes_Landed,Red_Distance_Strikes_Attempts,Red_Distance_Strikes_Landed,Red_Distance_Time,Red_Ground_Body_Strikes_Attempts,Red_Ground_Body_Strikes_Landed,Red_Ground_Control_Time,Red_Ground_Head_Strikes_Attempts,Red_Ground_Head_Strikes_Landed,Red_Ground_Leg_Strikes_Attempts,Red_Ground_Leg_Strikes_Landed,Red_Ground_Significant_Kicks_Attempts,Red_Ground_Significant_Kicks_Landed,Red_Ground_Significant_Punches_Attempts,Red_Ground_Significant_Punches_Landed,Red_Ground_Significant_Strikes_Attempts,Red_Ground_Significant_Strikes_Landed,Red_Ground_Time,Red_Ground_Total_Strikes_Attempts,Red_Ground_Total_Strikes_Landed,Red_Guard_Control_Time,Red_Half_Guard_Control_Time,Red_Head_Significant_Strikes_Attempts,Red_Head_Significant_Strikes_Landed,Red_Head_Total_Strikes_Attempts,Red_Head_Total_Strikes_Landed,Red_Kicks_Attempts,Red_Kicks_Landed,Red_Knock_Down_Attempts,Red_Knock_Down_Landed,Red_Legs_Significant_Strikes_Attempts,Red_Legs_Significant_Strikes_Landed,Red_Legs_Total_Strikes_Attempts,Red_Legs_Total_Strikes_Landed,Red_Misc__Ground_Control_Time,Red_Mount_Control_Time,Red_Neutral_Time,Red_Punches_Attempts,Red_Punches_Landed,Red_Reversals_Attempts,Red_Reversals_Landed,Red_Side_Control_Time,Red_Significant_Strikes_Attempts,Red_Significant_Strikes_Landed,Red_Standing_Time,Red_Standups_Attempts,Red_Standups_Landed,Red_Submissions_Attempts,Red_Submissions_Landed,Red_Takedowns_Attempts,Red_Takedowns_Landed,Red_Total_Strikes_Attempts,Red_Total_Strikes_Landed,Result,Method,Country,City,Venue,Date,EventStart,FightYear,EventID2,RedOdds,BlueOdds
627,4271,Mike Pierce,1078,David Mitchell,1597,Welterweight,Steve Mazzagatti,,2,0,3,0,19,17,57,55,19,17,7,0,0,0,21,15,30,21,26,17,402,92,81,27,0,0,0,0,0,0,0,0,18,4,18,0,0,0,0,0,18,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,25,0,51,24,21,15,0,0,0,0,,,0,0,148,98,74,0,0,0,44,17,469,0,0,0,0,0,0,110,81,0,5,4,8,7,5,4,10,4,1,1,5,5,19,13,16,9,402,22,15,299,0,0,0,0,0,0,0,0,20,9,16,3,1,1,1,1,17,4,67,0,0,5,8,4,0,0,0,0,7,7,8,4,5,10,6,0,5,34,11,37,14,10,10,0,1,2,2,,,0,0,148,48,31,0,0,0,41,17,469,0,0,0,0,4,0,49,25,Win,KO/TKO,USA,Las Vegas,MGM Grand Garden Arena,2013-07-06,15:30:38,2013,627,1.15015015015015,6.45
631,4292,Chad Mendes,1484,Clay Guida,459,Featherweight,Yves Lavigne,,3,0,3,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,19,1,1,1,0,0,2,0,0,0,7,1,106,8,90,11,9,4,8,5,98,16,430,0,0,0,0,0,0,0,0,0,0,0,0,0,181,2,2,0,0,90,11,92,13,17,6,0,0,8,5,11.0,10.0,0,0,431,113,10,0,0,0,99,17,449,0,2,0,0,4,0,101,19,2,5,4,7,6,0,0,4,4,0,0,0,0,3,3,4,4,19,5,5,198,0,0,2,1,2,1,0,0,42,17,41,10,4,4,4,4,47,15,430,3,3,181,12,10,0,0,3,3,15,14,15,13,181,22,20,63,0,57,24,62,29,8,8,0,1,4,4,15.0,8.0,116,0,431,67,39,0,0,0,66,32,449,0,0,1,0,5,3,74,40,Win,KO/TKO,USA,Milwaukee,Bradley Center,2013-08-31,17:23:11,2013,631,,
630,4293,Lyoto Machida,346,Phil Davis,1189,Light Heavyweight,Leon Roberts,,3,0,3,0,25,8,32,15,1,1,2,0,0,0,0,0,0,0,3,1,0,4,2,0,0,0,0,0,20,3,0,0,0,0,41,3,0,0,15,9,76,15,0,4,4,0,7,1,0,0,0,0,0,0,11,5,0,18,12,0,0,50,4,51,5,0,0,0,0,15,9,11.0,10.0,0,0,0,0,0,0,0,0,90,21,0,0,0,0,0,10,2,98,29,0,20,11,20,11,1,1,2,0,0,0,0,0,0,0,3,1,0,3,1,0,0,0,0,0,19,10,0,0,0,0,29,12,0,0,10,4,58,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,12,31,12,0,0,0,0,10,4,15.0,8.0,0,0,0,0,0,0,0,0,61,27,0,0,0,0,0,0,0,61,27,Loss,DEC,Brazil,Rio de Janeiro,HSBC Arena,2013-08-03,19:30:02,2013,630,,
627,4309,Norman Parke,2036,Kazuki Tokudome,2044,Lightweight,Steve Mazzagatti,,3,0,3,0,5,4,6,5,0,0,6,3,0,0,0,0,4,2,6,3,203,14,9,153,2,2,3,2,5,4,4,2,101,27,104,23,11,9,13,13,122,40,422,0,0,121,0,0,0,0,0,0,6,4,0,0,274,13,10,113,0,110,26,130,41,17,13,0,0,13,13,,,8,0,453,133,53,0,0,0,128,43,625,0,2,0,0,5,1,149,59,0,11,9,13,11,4,4,1,1,1,1,5,3,2,2,6,6,203,11,11,293,2,0,4,1,7,5,9,2,103,49,102,47,10,10,11,8,120,60,422,0,0,150,2,2,0,0,0,0,2,2,2,2,274,6,6,3,18,105,50,112,57,28,17,0,0,12,9,,,105,19,453,117,60,0,0,5,128,68,625,0,1,0,0,13,2,137,77,Win,DEC,USA,Las Vegas,MGM Grand Garden Arena,2013-07-06,15:30:38,2013,627,1.6896551724137931,2.31
627,4336,Anderson Silva,235,Chris Weidman,1769,Middleweight,Herb Dean,UFC Middleweight Title,2,0,5,0,1,0,5,4,0,0,0,0,0,0,0,0,1,0,0,0,34,0,0,122,1,0,1,0,1,0,1,0,26,14,24,8,0,0,0,0,25,8,213,0,0,110,18,8,0,0,0,0,19,13,18,8,130,30,18,43,54,42,16,50,22,2,0,0,1,0,0,,,13,0,255,56,36,0,0,0,43,16,247,0,0,1,0,3,1,55,26,0,2,1,3,2,0,0,0,0,0,0,1,1,1,1,0,0,34,7,5,0,2,0,0,0,2,1,3,1,14,6,12,4,9,8,10,9,24,14,213,0,0,0,0,0,0,0,2,2,1,1,0,0,130,1,1,0,0,12,4,18,8,17,12,0,0,10,9,,,0,0,255,23,12,0,0,0,24,14,247,0,1,0,0,0,0,32,20,Loss,KO/TKO,USA,Las Vegas,MGM Grand Garden Arena,2013-07-06,15:30:38,2013,627,1.4219409282700421,3.11
627,4338,Mark Munoz,653,Tim Boetsch,435,Middleweight,Steve Mazzagatti,,3,0,3,0,16,9,19,12,8,4,4,2,4,4,17,14,6,4,16,10,260,36,29,161,7,3,0,0,8,5,1,0,14,7,13,5,1,1,1,1,22,11,120,0,0,55,3,2,0,0,1,1,5,3,3,2,518,11,10,0,0,20,9,41,29,27,19,0,0,5,5,,,45,0,154,43,31,0,0,10,41,23,380,0,3,3,0,3,1,69,50,8,35,31,47,43,8,7,14,5,1,0,9,7,8,7,23,12,260,43,32,583,2,2,0,0,1,0,2,0,18,13,14,5,0,0,0,0,15,5,120,26,24,446,36,26,2,2,3,3,119,111,64,52,518,113,95,13,33,64,36,109,75,19,15,0,0,3,2,,,390,0,154,159,145,0,0,2,102,69,380,0,2,2,0,10,5,171,132,Win,DEC,USA,Las Vegas,MGM Grand Garden Arena,2013-07-06,15:30:38,2013,627,2.0,1.9090909090909092
627,4339,Frankie Edgar,451,Charles Oliveira,1531,Featherweight,Yves Lavigne,,3,0,3,0,17,7,17,7,2,2,4,3,0,0,7,6,5,4,6,5,67,6,5,0,12,5,1,1,15,5,6,2,102,44,95,22,7,5,7,4,117,31,551,0,0,0,2,2,0,0,0,0,2,1,2,2,279,23,23,0,0,101,27,122,48,32,18,0,0,7,4,,,0,0,601,133,73,0,0,0,125,38,618,0,1,1,0,4,0,146,59,0,29,23,40,34,0,0,5,4,0,0,3,3,16,13,5,4,67,5,4,296,1,1,39,31,28,22,0,0,104,59,90,35,4,4,4,4,122,61,551,1,1,273,17,14,1,1,7,5,26,24,19,16,279,55,49,211,6,112,53,132,72,15,13,0,0,5,5,,,56,0,601,210,151,0,0,0,146,81,618,0,0,0,0,5,2,182,114,Win,DEC,USA,Las Vegas,MGM Grand Garden Arena,2013-07-06,15:30:38,2013,627,1.1869158878504673,5.5
627,4340,Cub Swanson,1050,Dennis Siver,366,Featherweight,Herb Dean,,3,0,3,0,10,6,19,15,0,0,0,0,0,0,0,0,1,1,0,0,11,0,0,189,7,5,1,1,9,5,14,0,102,15,108,9,21,11,23,10,140,24,477,1,1,189,3,1,0,0,1,1,0,0,4,2,256,34,30,20,82,111,10,132,29,43,17,0,0,23,10,,,20,0,495,138,46,0,0,67,144,26,488,0,0,0,0,4,1,174,54,0,9,6,9,6,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,60,5,5,5,4,8,5,6,3,55,31,60,19,12,11,11,5,79,29,477,1,1,60,21,13,0,0,0,0,25,24,22,14,256,26,18,0,0,81,32,84,35,25,21,0,1,11,5,,,19,41,495,90,64,0,0,0,101,43,488,0,1,0,0,1,1,105,47,Win,KO/TKO,USA,Las Vegas,MGM Grand Garden Arena,2013-07-06,15:30:38,2013,627,1.5649717514124295,2.59
627,4342,Chris Leben,414,Andrew Craig,1965,Middleweight,Yves Lavigne,,3,0,3,0,9,9,16,16,7,7,7,5,0,0,13,10,10,4,14,12,397,51,48,216,5,2,0,0,2,2,1,0,70,38,71,39,5,5,5,5,78,46,343,0,0,142,9,6,0,0,2,2,26,17,9,6,157,31,26,61,32,87,50,139,99,26,19,0,0,5,5,,,49,0,376,137,88,0,0,0,101,64,740,0,0,0,0,3,2,160,120,0,10,7,64,61,6,5,1,0,1,1,7,7,18,13,8,6,397,97,89,305,1,0,2,2,4,2,0,0,50,20,44,17,9,4,10,5,58,24,343,0,0,15,0,0,0,0,1,1,1,1,0,0,157,17,14,0,0,45,17,92,55,26,20,0,0,11,6,,,15,0,376,201,164,0,0,0,66,30,740,0,1,0,0,7,0,172,127,Loss,DEC,USA,Las Vegas,MGM Grand Garden Arena,2013-07-06,15:30:38,2013,627,2.4,1.6451612903225805
627,4343,Seth Baczynski,1547,Brian Melancon,1823,Welterweight,Yves Lavigne,,1,0,3,0,4,3,5,4,0,0,0,0,0,0,0,0,3,1,0,0,23,0,0,97,2,2,1,1,4,3,0,0,16,7,20,7,3,3,4,4,28,14,184,0,0,92,14,10,0,0,1,1,13,12,14,10,92,20,16,28,38,34,17,39,22,7,7,0,1,4,4,,,26,0,187,34,22,0,0,0,42,24,207,0,0,0,0,1,1,48,30,0,3,1,3,1,1,1,1,1,0,0,2,2,0,0,2,2,23,3,3,15,3,2,1,0,2,0,1,0,40,6,46,7,2,2,4,4,52,11,184,0,0,0,0,0,0,0,6,5,0,0,0,0,92,0,0,0,0,47,8,47,8,14,11,0,0,4,4,,,0,0,187,41,6,0,0,0,54,13,207,0,0,0,0,1,0,55,14,Loss,KO/TKO,USA,Las Vegas,MGM Grand Garden Arena,2013-07-06,15:30:38,2013,627,1.3690036900369003,3.4
