FightID,Date,Country,Fighter_Name,DOB,Stance,Weight,Result,Method
4336,6/07/2013,USA,Chris Weidman,17/06/1984,Orthodox,0,Win,KO/TKO
4336,6/07/2013,USA,Anderson Silva,14/04/1975,Southpaw,0,Loss,KO/TKO
4338,6/07/2013,USA,Tim Boetsch,28/01/1981,Orthodox,0,Loss,DEC
4338,6/07/2013,USA,Mark Munoz,9/02/1978,Orthodox,0,Win,DEC
4339,6/07/2013,USA,Charles Oliveira,17/10/1989,Orthodox,0,Loss,DEC
4339,6/07/2013,USA,Frankie Edgar,16/10/1981,Orthodox,0,Win,DEC
4340,6/07/2013,USA,Dennis Siver,13/01/1979,Orthodox,0,Loss,KO/TKO
4340,6/07/2013,USA,Cub Swanson,2/11/1983,Orthodox,0,Win,KO/TKO
4341,6/07/2013,USA,Roger Gracie,26/09/1981,Orthodox,0,Loss,DEC
4341,6/07/2013,USA,Tim Kennedy,1/09/1979,Orthodox,0,Win,DEC
4342,6/07/2013,USA,Andrew Craig,15/01/1986,Orthodox,0,Win,DEC
4342,6/07/2013,USA,Chris Leben,21/07/1980,Southpaw,0,Loss,DEC
4343,6/07/2013,USA,Brian Melancon,28/05/1982,Orthodox,0,Win,KO/TKO
4343,6/07/2013,USA,Seth Baczynski,26/10/1981,Orthodox,0,Loss,KO/TKO
4352,6/07/2013,USA,Dave Herman,3/10/1984,Orthodox,0,Loss,KO/TKO
4352,6/07/2013,USA,Gabriel Gonzaga,18/05/1979,Orthodox,0,Win,KO/TKO
4353,6/07/2013,USA,Rafaello Oliveira,26/01/1982,Orthodox,0,Loss,KO/TKO
4353,6/07/2013,USA,Edson Barboza,21/01/1986,Orthodox,0,Win,KO/TKO
4309,6/07/2013,USA,Kazuki Tokudome,4/03/1987,Southpaw,0,Loss,DEC
4309,6/07/2013,USA,Norman Parke,22/12/1986,,0,Win,DEC
4271,6/07/2013,USA,David Mitchell,24/10/1979,Orthodox,0,Loss,KO/TKO
4271,6/07/2013,USA,Mike Pierce,1/09/1980,Orthodox,0,Win,KO/TKO
4354,8/06/2013,Brazil,Fabricio Werdum,30/07/1977,Orthodox,231,Win,SUB
