Raw,Mapped
 Jun Yong Park,Jun Yong Park
Aaron Riley,Aaron Riley
Aaron Rosa,Aaron Rosa
Aaron Simpson,Aaron Simpson
Aaron Wilkinson,Aaron Wilkinson
Adam Cella,Adam Cella
Adlan Amagov,Adlan Amagov
Alan Belcher,Alan Belcher
Alekander Volkov,Alexander Volkov
Alex Soto,Alex Soto
Alexandre Ferreira,Alexandre Ferreira
Amilcar Alves,Amilcar Alves
Amir Sadollah,Amir Sadollah
Andre Winner,Andre Winner
Anistavio Medeiros,Anistavio Medeiros
Anton Kuivanen,Anton Kuivanen
Antonio Banuelos,Antonio Banuelos
Antonio Carvalho,Antonio Carvalho
Antonio McKee,Antonio McKee
Azamat Gashimov,Azamat Gashimov
Bart Palaszewski,Bart Palaszewski
Benny Alloway,Benny Alloway
Bentley Syler,Bentley Syler
Bernardo Magalhaes,Bernardo Magalhaes
Besam Yousef,Besam Yousef
Brad Blackburn,Brad Blackburn
Brandon Vera,Brandon Vera
Brian Bowles,Brian Bowles
Brian Foster,Brian Foster
Brian Melancon,Brian Melancon
Brian Stann,Brian Stann
Bristol Marunde,Bristol Marunde
Brock Jardine,Brock Jardine
Bubba Bush,Bubba Bush
Buddy Roberts,Buddy Roberts
Byron Bloodworth,Byron Bloodworth
Caludia Gadelha,Claudia Gadelha
Caludio Puelles,Claudio Puelles
Caol Uno,Caol Uno
Carlo Prater,Carlo Prater
Carlos Eduardo Rocha,Carlos Eduardo Rocha
Caros Fodor,Caros Fodor
Chad Griggs,Chad Griggs
Chael Sonnen,Chael Sonnen
Charlie Valencia,Charlie Valencia
Chase Gormley,Chase Gormley
Che Mills,Che Mills
Cheick Kongo,Cheick Kongo
Chris Cope,Chris Cope
Chris Lytle,Chris Lytle
Chris Saunders,Chris Saunders
Chris Spang,Chris Spang
Chris Tickle,Chris Tickle
Chris Tuchscherer,Chris Tuchscherer
Christian Morecraft,Christian Morecraft
Chuck Liddell,Chuck Liddell
Chuck O'Neil,Chuck O'Neil
CJ Keith,CJ Keith
Claude Patrick,Claude Patrick
Clay Harvison,Clay Harvison
Clifford Starks,Clifford Starks
Cody Donovan,Cody Donovan
Cole Escovedo,Cole Escovedo
Colin Fletcher,Colin Fletcher
Collin Hart,Collin Hart
Curt Warburton,Curt Warburton
Damacio Page,Damacio Page
DaMarques Johnson,DaMarques Johnson
Dan Hardy,Dan Hardy
Dan Lauzon,Dan Lauzon
Dan Stittgen,Dan Stittgen
Daniel Roberts,Daniel Roberts
Danny Downes,Danny Downes
Dave Herman,Dave Herman
David Loiseau,David Loiseau
Delson Heleno,Delson Heleno
Dennis Hallman,Dennis Hallman
Derrick,Derrick
Diego Nunes,Diego Nunes
Donny Walker,Donny Walker
Don'tale Mayes,Don'Tale Mayes
Duane Ludwig,Duane Ludwig
Dustin Hazelett,Dustin Hazelett
Dustin Neace,Dustin Neace
Dustin Pague,Dustin Pague
Eddie Mendez,Eddie Mendez
Eddie Yagin,Eddie Yagin
Ednaldo Oliveira,Ednaldo Oliveira
Edward Faaloloto,Edward Faaloloto
Eiji Mitsuoka,Eiji Mitsuoka
Eliot Marshall,Eliot Marshall
Elizeu Dos Santos,Elizeu Zaleski dos Santos
Eric Schafer,Eric Schafer
Eric Wisely,Eric Wisely
Felipe Olivieri,Felipe Olivieri
Forrest Griffin,Forrest Griffin
Forrest Petz,Forrest Petz
Fredson Paixao,Fredson Paixao
Gabe Ruediger,Gabe Ruediger
George Sotiropoulos,George Sotiropoulos
Gerald Harris,Gerald Harris
Germaine De Randamie,Germaine de Randamie
Gilbert Smith,Gilbert Smith
Gilbert Yvel,Gilbert Yvel
Goran Reljic,Goran Reljic
Greg Soto,Greg Soto
Grigorii Popov,Grigory Popov
Henry Martinez,Henry Martinez
Humberto Brown,Humberto Brown Morrison
Ian Loveland,Ian Loveland
Isabela De Pauda,Isabela de Padua
Issei Tamura,Issei Tamura
Jacob Volkmann,Jacob Volkmann
Jake Hecht,Jake Hecht
James Hammortree,James Hammortree
James Head,James Head
James Irvin,James Irvin
James McSweeney,James McSweeney
James Toney,James Toney
James Wilks,James Wilks
Jamie Yager,Jamie Yager
Jared Hamman,Jared Hamman
Jared Papazian,Jared Papazian
Jason Brilz,Jason Brilz
Jason MacDonald,Jason MacDonald
Jason Miller,Jason Miller
Jason Reinhardt,Jason Reinhardt
Jason Young,Jason Young
Javier Vazquez,Javier Vazquez
Jay Hieron,Jay Hieron
Jeff Curran,Jeff Curran
Jeff Hougland,Jeff Hougland
Jeremy Larsen,Jeremy Larsen
Jesse Bongfeldt,Jesse Bongfeldt
Jesse Forbes,Jesse Forbes
Jesse Lennox,Jesse Lennox
Jianping Yang,Jianping Yang
Jim Crute,Jimmy Crute
Jimmy Quinlan,Jimmy Quinlan
Joao Zeferino,Joao Zeferino
Joe Brammer,Joe Brammer
Joe Doerksen,Joe Doerksen
Joe Stevenson,Joe Stevenson
Joey Gambino,Joey Gambino
John Albert,John Albert
John Alessio,John Alessio
John Cholish,John Cholish
John Cofer,John Cofer
John Gunderson,John Gunderson
John Maguire,John Maguire
John Salter,John Salter
John Teixeira,John Teixeira
Jon Fitch,Jon Fitch
Jon Madsen,Jon Madsen
Jon Manley,Jon Manley
Jon Olav Einemo,Jon Olav Einemo
Jonathan Brookins,Jonathan Brookins
Jonathan Goulet,Jonathan Goulet
Jorge Lopez,Jorge Lopez
Jorge Rivera,Jorge Rivera
Jorge Santiago,Jorge Santiago
Joseph Sandoval,Joseph Sandoval
Josh Bryant,Josh Bryant
Josh Clopton,Josh Clopton
Josh Ferguson,Josh Ferguson
Josh Grispi,Josh Grispi
Josh Neer,Josh Neer
Joshua Culibao,Josh Culibao
Julio Paulino,Julio Paulino
Junior Assuncao,Junior Assuncao
Justin Lawrence,Justin Lawrence
Kai Kara France,Kai Kara-France
Kamal Shalorus,Kamal Shalorus
Karlos Vemola,Karlos Vemola
Karo Parisyan,Karo Parisyan
Keith Jardine,Keith Jardine
Keith Wisniewski,Keith Wisniewski
Ken Stone,Ken Stone
Kendall Grove,Kendall Grove
Kenny Florian,Kenny Florian
Kevin Ferguson,Kevin Ferguson
Kris McCray,Kris McCray
Krzystof Jotko,Krzysztof Jotko
Krzysztof Soszynski,Krzysztof Soszynski
Kurt Pellegrino,Kurt Pellegrino
Kyle Watson,Kyle Watson
